x,y,sxx,sxy,syy
7.7,0.4,-3.23028,-3.33213,0.0486658
7.8,0.4,-2.96028,-3.18726,0.0486658
7.9,0.4,-2.70228,-3.04238,0.0486658
8,0.4,-2.45628,-2.8975,0.0486659
8.1,0.4,-2.22228,-2.75263,0.0486659
8.2,0.4,-2.00028,-2.60775,0.0486661
8.3,0.4,-1.79028,-2.46288,0.0486664
8.4,0.4,-1.59228,-2.318,0.0486669
8.5,0.4,-1.40629,-2.17313,0.0486675
8.6,0.4,-1.23229,-2.02825,0.0486678
8.7,0.4,-1.07029,-1.88337,0.0486662
8.8,0.4,-0.920291,-1.7385,0.0486583
8.9,0.4,-0.782284,-1.59363,0.0486334
9,0.4,-0.656249,-1.4488,0.0485677
9.1,0.4,-0.542139,-1.30405,0.0484113
9.2,0.4,-0.439851,-1.15948,0.0480695
9.3,0.4,-0.349166,-1.0153,0.0473784
9.4,0.4,-0.269672,-0.871898,0.0460964
9.5,0.4,-0.20066,-0.72988,0.0439697
9.6,0.4,-0.141075,-0.590049,0.0410276
9.7,0.4,-0.0897405,-0.452921,0.0384233
9.8,0.4,-0.0462497,-0.317111,0.0403206
9.9,0.4,-0.0130989,-0.175132,0.0572462
10,0.4,0.00175272,-0.00488862,0.11008
0,0.5,-3.61E-10,8.33933,-1.08E-10
0.1,0.5,-3.74E-10,-4.50246,-7.87E-11
0.2,0.5,-3.84E-10,-11.5697,-5.11E-11
0.3,0.5,-3.91E-10,-14.491,-2.96E-11
0.4,0.5,-3.94E-10,-15.2067,-1.41E-11
0.5,0.5,-3.95E-10,-15.0518,-4.55E-12
0.6,0.5,-3.93E-10,-14.6783,1.01E-12
0.7,0.5,-3.91E-10,-14.3218,6.65E-12
0.8,0.5,-3.88E-10,-14.0334,6.14E-12
0.9,0.5,-3.84E-10,-13.8037,7.64E-12
1,0.5,-3.81E-10,-13.6119,6.89E-12
1.1,0.5,-3.80E-10,-13.4414,1.90E-12
1.2,0.5,-3.76E-10,-13.2819,2.76E-12
1.3,0.5,-3.76E-10,-13.1276,2.64E-12
1.4,0.5,-3.71E-10,-12.9755,1.98E-11
1.5,0.5,-3.68E-10,-12.8243,1.06E-11
1.6,0.5,-3.72E-10,-12.6734,8.34E-12
1.7,0.5,-3.62E-10,-12.5225,1.89E-11
1.8,0.5,-3.65E-10,-12.3717,1.20E-11
1.9,0.5,-3.57E-10,-12.2209,2.47E-11
2,0.5,-3.56E-10,-12.07,1.27E-11
2.1,0.5,-3.45E-10,-11.9191,3.74E-11
2.2,0.5,-3.45E-10,-11.7683,2.73E-11
2.3,0.5,-3.34E-10,-11.6174,4.83E-11
2.4,0.5,-3.34E-10,-11.4665,3.82E-11
2.5,0.5,-3.41E-10,-11.3156,9.53E-12
2.6,0.5,-3.29E-10,-11.1648,2.13E-11
2.7,0.5,-3.16E-10,-11.0139,3.12E-11
2.8,0.5,-2.99E-10,-10.863,6.74E-11
2.9,0.5,-3.12E-10,-10.7121,7.14E-11
3,0.5,-3.04E-10,-10.5613,5.93E-11
3.1,0.5,-2.99E-10,-10.4104,5.52E-11
3.2,0.5,-2.92E-10,-10.2595,8.66E-11
3.3,0.5,-2.82E-10,-10.1086,5.15E-11
3.4,0.5,-2.79E-10,-9.95777,8.06E-11
3.5,0.5,-2.88E-10,-9.80689,1.17E-10
3.6,0.5,-2.75E-10,-9.65602,5.59E-11
3.7,0.5,-2.64E-10,-9.50514,4.83E-11
3.8,0.5,-2.54E-10,-9.35426,6.80E-11
3.9,0.5,-2.49E-10,-9.20339,1.16E-10
4,0.5,-2.38E-10,-9.05251,1.14E-10
