sxx,sxy,syy,x,y
-35.3407,-8.76821,-13.482,0,0.020202
-28.6957,-0.0795352,0.724984,0.0840336,0.020202
-26.8325,0.0217941,0.114705,0.168067,0.020202
-26.5119,0.0353068,0.0102022,0.252101,0.020202
-26.3286,0.0169157,0.00346436,0.336134,0.020202
-26.0816,-0.00124234,0.00216774,0.420168,0.020202
-25.7623,-0.0115116,0.00132439,0.504202,0.020202
-25.39,-0.014706,0.000824226,0.588235,0.020202
-24.9844,-0.0130328,0.000565755,0.672269,0.020202
-24.5604,-0.00841931,0.000455981,0.756303,0.020202
-24.1277,-0.00223831,0.000431409,0.840336,0.020202
-23.6921,0.00462669,0.000452212,0.92437,0.020202
-23.2572,0.0116475,0.000494741,1.0084,0.020202
-22.8246,0.0185288,0.000545715,1.09244,0.020202
-22.3954,0.0251174,0.000598136,1.17647,0.020202
-21.9701,0.0313417,0.000648623,1.2605,0.020202
-21.5487,0.0371745,0.000695762,1.34454,0.020202
-21.1314,0.0426114,0.000739157,1.42857,0.020202
-20.7183,0.0476588,0.000778896,1.51261,0.020202
-20.3092,0.0523281,0.000815279,1.59664,0.020202
-19.9042,0.0566323,0.000848677,1.68067,0.020202
-19.5034,0.0605849,0.000879472,1.76471,0.020202
-19.1066,0.0641993,0.000908028,1.84874,0.020202
-18.7139,0.0674884,0.000934681,1.93277,0.020202
-18.3253,0.0704648,0.00095974,2.01681,0.020202
-17.9408,0.0731406,0.000983483,2.10084,0.020202
-17.5604,0.0755278,0.00100616,2.18487,0.020202
-17.184,0.077638,0.00102801,2.26891,0.020202
-16.8117,0.0794823,0.00104924,2.35294,0.020202
-16.4436,0.081072,0.00107002,2.43697,0.020202
-16.0794,0.0824176,0.00109053,2.52101,0.020202
-15.7194,0.0835298,0.00111091,2.60504,0.020202
-15.3635,0.0844189,0.00113129,2.68908,0.020202
-15.0116,0.0850949,0.0011518,2.77311,0.020202
-14.6638,0.0855677,0.00117252,2.85714,0.020202
-14.3201,0.0858469,0.00119354,2.94118,0.020202
-13.9804,0.0859418,0.00121493,3.02521,0.020202
-13.6449,0.0858616,0.00123676,3.10924,0.020202
-13.3134,0.0856153,0.00125907,3.19328,0.020202
-12.986,0.0852116,0.00128189,3.27731,0.020202
-12.6627,0.0846591,0.00130526,3.36134,0.020202
-12.3435,0.0839659,0.00132919,3.44538,0.020202
-12.0283,0.0831402,0.00135368,3.52941,0.020202
-11.7172,0.08219,0.00137875,3.61345,0.020202
-11.4102,0.0811228,0.00140437,3.69748,0.020202
-11.1073,0.0799461,0.00143055,3.78151,0.020202
-10.8084,0.0786674,0.00145725,3.86555,0.020202
-10.5136,0.0772935,0.00148446,3.94958,0.020202
-10.2229,0.0758316,0.00151214,4.03361,0.020202
-9.93629,0.0742881,0.00154026,4.11765,0.020202
-9.65374,0.0726697,0.00156878,4.20168,0.020202
-9.37526,0.0709828,0.00159766,4.28571,0.020202
-9.10085,0.0692334,0.00162685,4.36975,0.020202
-8.83052,0.0674275,0.0016563,4.45378,0.020202
-8.56427,0.0655709,0.00168596,4.53782,0.020202
-8.30208,0.0636694,0.00171578,4.62185,0.020202
-8.04397,0.0617282,0.0017457,4.70588,0.020202
-7.78994,0.0597527,0.00177568,4.78992,0.020202
-7.53997,0.057748,0.00180564,4.87395,0.020202
-7.29408,0.0557191,0.00183554,4.95798,0.020202
-7.05226,0.0536707,0.00186531,5.04202,0.020202
-6.81451,0.0516075,0.00189491,5.12605,0.020202
-6.58083,0.049534,0.00192426,5.21008,0.020202
-6.35122,0.0474545,0.00195331,5.29412,0.020202
-6.12569,0.0453731,0.00198201,5.37815,0.020202
-5.90422,0.0432939,0.00201029,5.46218,0.020202
-5.68683,0.0412208,0.00203811,5.54622,0.020202
-5.4735,0.0391576,0.0020654,5.63025,0.020202
-5.26425,0.0371077,0.00209212,5.71429,0.020202
-5.05906,0.0350748,0.0021182,5.79832,0.020202
-4.85794,0.033062,0.0021436,5.88235,0.020202
-4.6609,0.0310727,0.00216827,5.96639,0.020202
-4.46792,0.0291099,0.00219216,6.05042,0.020202
-4.27901,0.0271764,0.00221523,6.13445,0.020202
-4.09416,0.0252753,0.00223742,6.21849,0.020202
-3.91339,0.023409,0.0022587,6.30252,0.020202
-3.73668,0.0215803,0.00227902,6.38655,0.020202
-3.56404,0.0197916,0.00229835,6.47059,0.020202
-3.39547,0.0180452,0.00231665,6.55462,0.020202
-3.23096,0.0163434,0.00233388,6.63866,0.020202
-3.07053,0.0146882,0.00235001,6.72269,0.020202
-2.91416,0.0130818,0.002365,6.80672,0.020202
-2.76185,0.0115261,0.00237883,6.89076,0.020202
-2.61361,0.0100229,0.00239148,6.97479,0.020202
-2.46944,0.00857382,0.0024029,7.05882,0.020202
-2.32933,0.00718061,0.00241309,7.14286,0.020202
-2.19329,0.00584477,0.00242202,7.22689,0.020202
-2.06132,0.00456777,0.00242966,7.31092,0.020202
-1.93341,0.00335095,0.00243601,7.39496,0.020202
-1.80957,0.0021956,0.00244104,7.47899,0.020202
-1.68979,0.00110292,0.00244474,7.56303,0.020202
-1.57408,7.40E-05,0.00244709,7.64706,0.020202
-1.46243,-0.000890052,0.00244809,7.73109,0.020202
-1.35485,-0.00178833,0.00244773,7.81513,0.020202
-1.25133,-0.00261991,0.00244599,7.89916,0.020202
-1.15188,-0.00338397,0.00244288,7.98319,0.020202
-1.05649,-0.00407975,0.00243837,8.06723,0.020202
-0.965169,-0.00470654,0.00243248,8.15126,0.020202
-0.87791,-0.00526371,0.0024252,8.23529,0.020202
-0.794716,-0.00575067,0.00241652,8.31933,0.020202
-0.715586,-0.00616691,0.00240645,8.40336,0.020202
-0.64052,-0.00651196,0.00239498,8.48739,0.020202
-0.569518,-0.00678539,0.00238213,8.57143,0.020202
-0.50258,-0.00698684,0.00236788,8.65546,0.020202
-0.439706,-0.00711599,0.00235224,8.7395,0.020202
-0.380896,-0.00717251,0.00233522,8.82353,0.020202
-0.32615,-0.00715609,0.00231681,8.90756,0.020202
-0.275468,-0.00706627,0.00229699,8.9916,0.020202
-0.228853,-0.00690234,0.00227572,9.07563,0.020202
-0.18631,-0.00666294,0.0022529,9.15966,0.020202
-0.147851,-0.00634552,0.00222833,9.2437,0.020202
-0.113499,-0.00594524,0.00220164,9.32773,0.020202
-0.0833015,-0.00545337,0.00217216,9.41176,0.020202
-0.0573409,-0.0048548,0.00213871,9.4958,0.020202
-0.0357629,-0.00412507,0.00209945,9.57983,0.020202
-0.0188002,-0.00322829,0.00205168,9.66387,0.020202
-0.00678693,-0.00212188,0.00199248,9.7479,0.020202
-9.03E-05,-0.000792653,0.00192616,9.83193,0.020202
0.00132404,0.000538976,0.00190725,9.91597,0.020202
3.12E-05,0.000356524,0.00224483,10,0.020202
-31.7177,-7.70901,-12.4284,0,0.030303
-28.9089,-0.8591,0.339669,0.0840336,0.030303
-26.5118,-0.0889504,0.0209826,0.168067,0.030303
-26.0685,0.00797179,0.00559889,0.252101,0.030303
-25.8276,-0.011105,0.00719017,0.336134,0.030303
-25.5565,-0.0376456,0.0052479,0.420168,0.030303
-25.2303,-0.0551275,0.0034143,0.504202,0.030303
-24.8599,-0.0633079,0.00217846,0.588235,0.030303
-24.4605,-0.0646863,0.00144429,0.672269,0.030303
-24.0446,-0.0617423,0.0010635,0.756303,0.030303
-23.6208,-0.0563399,0.000909599,0.840336,0.030303
-23.1945,-0.0497181,0.00089052,0.92437,0.030303
-22.7688,-0.0426353,0.000945527,1.0084,0.030303
-22.3455,-0.0355256,0.00103742,1.09244,0.030303
-21.9255,-0.0286208,0.00114483,1.17647,0.030303
-21.5092,-0.0220348,0.00125624,1.2605,0.030303
-21.0967,-0.0158162,0.00136587,1.34454,0.030303
-20.6883,-0.00997969,0.00147113,1.42857,0.030303
-20.2839,-0.00452337,0.00157107,1.51261,0.030303
-19.8835,0.000562235,0.00166557,1.59664,0.030303
-19.4871,0.00528954,0.00175484,1.68067,0.030303
-19.0947,0.00967182,0.00183925,1.76471,0.030303
-18.7064,0.0137223,0.00191921,1.84874,0.030303
-18.322,0.0174539,0.00199509,1.93277,0.030303
-17.9416,0.020879,0.00206727,2.01681,0.030303
-17.5652,0.0240097,0.00213607,2.10084,0.030303
-17.1928,0.0268577,0.00220179,2.18487,0.030303
-16.8244,0.0294343,0.00226471,2.26891,0.030303
-16.46,0.0317506,0.00232507,2.35294,0.030303
-16.0996,0.0338174,0.0023831,2.43697,0.030303
-15.7432,0.0356453,0.00243901,2.52101,0.030303
-15.3907,0.0372445,0.00249297,2.60504,0.030303
-15.0423,0.0386253,0.00254517,2.68908,0.030303
-14.6979,0.0397973,0.00259576,2.77311,0.030303
-14.3574,0.0407702,0.00264486,2.85714,0.030303
-14.021,0.0415535,0.00269261,2.94118,0.030303
-13.6885,0.0421563,0.00273911,3.02521,0.030303
-13.36,0.0425876,0.00278445,3.10924,0.030303
-13.0355,0.0428562,0.00282873,3.19328,0.030303
-12.7151,0.0429706,0.00287202,3.27731,0.030303
-12.3986,0.042939,0.00291438,3.36134,0.030303
-12.086,0.0427698,0.00295586,3.44538,0.030303
-11.7775,0.0424707,0.00299651,3.52941,0.030303
-11.473,0.0420495,0.00303636,3.61345,0.030303
-11.1725,0.0415138,0.00307545,3.69748,0.030303
-10.8759,0.0408708,0.00311379,3.78151,0.030303
-10.5834,0.0401277,0.0031514,3.86555,0.030303
-10.2948,0.0392914,0.00318828,3.94958,0.030303
-10.0102,0.0383688,0.00322445,4.03361,0.030303
-9.72963,0.0373662,0.0032599,4.11765,0.030303
-9.45302,0.0362902,0.00329463,4.20168,0.030303
-9.18041,0.035147,0.00332862,4.28571,0.030303
-8.91179,0.0339425,0.00336187,4.36975,0.030303
-8.64715,0.0326826,0.00339435,4.45378,0.030303
-8.3865,0.0313731,0.00342604,4.53782,0.030303
-8.12983,0.0300193,0.00345694,4.62185,0.030303
-7.87716,0.0286267,0.003487,4.70588,0.030303
-7.62847,0.0272004,0.00351621,4.78992,0.030303
-7.38376,0.0257454,0.00354454,4.87395,0.030303
-7.14304,0.0242665,0.00357196,4.95798,0.030303
-6.90631,0.0227686,0.00359844,5.04202,0.030303
