x,y,ux,uy
8.7,0.2,-0.00627673,-0.113774
8.8,0.2,-0.00629583,-0.115588
8.9,0.2,-0.00631455,-0.117402
9,0.2,-0.00633291,-0.119217
9.1,0.2,-0.00635096,-0.121033
9.2,0.2,-0.00636871,-0.122848
9.3,0.2,-0.00638621,-0.124664
9.4,0.2,-0.00640347,-0.126479
9.5,0.2,-0.00642054,-0.128294
9.6,0.2,-0.00643743,-0.13011
9.7,0.2,-0.00645419,-0.131925
9.8,0.2,-0.00647083,-0.133739
9.9,0.2,-0.00648739,-0.135554
10,0.2,-0.00650392,-0.137368
0,0.3,0,0
0.1,0.3,-8.60E-05,-2.34E-05
0.2,0.3,-0.000184512,-0.000121738
0.3,0.3,-0.000288302,-0.000278922
0.4,0.3,-0.000392105,-0.000488194
0.5,0.3,-0.000493771,-0.000747179
0.6,0.3,-0.000592856,-0.00105475
0.7,0.3,-0.000689499,-0.00140998
0.8,0.3,-0.000783937,-0.00181197
0.9,0.3,-0.00087637,-0.00225977
1,0.3,-0.000966932,-0.00275241
1.1,0.3,-0.00105571,-0.00328893
1.2,0.3,-0.00114278,-0.00386836
1.3,0.3,-0.00122817,-0.00448972
1.4,0.3,-0.00131194,-0.00515208
1.5,0.3,-0.0013941,-0.00585449
1.6,0.3,-0.00147469,-0.00659602
1.7,0.3,-0.00155375,-0.00737575
1.8,0.3,-0.0016313,-0.00819276
1.9,0.3,-0.00170737,-0.00904617
2,0.3,-0.00178199,-0.00993507
2.1,0.3,-0.00185517,-0.0108586
2.2,0.3,-0.00192696,-0.0118159
2.3,0.3,-0.00199736,-0.0128061
2.4,0.3,-0.00206641,-0.0138283
2.5,0.3,-0.00213414,-0.0148818
2.6,0.3,-0.00220055,-0.0159656
2.7,0.3,-0.00226568,-0.0170791
2.8,0.3,-0.00232954,-0.0182213
2.9,0.3,-0.00239216,-0.0193916
3,0.3,-0.00245355,-0.020589
3.1,0.3,-0.00251374,-0.0218129
3.2,0.3,-0.00257274,-0.0230625
3.3,0.3,-0.00263058,-0.024337
3.4,0.3,-0.00268727,-0.0256357
3.5,0.3,-0.00274283,-0.0269579
3.6,0.3,-0.00279728,-0.0283029
3.7,0.3,-0.00285064,-0.02967
3.8,0.3,-0.00290291,-0.0310584
3.9,0.3,-0.00295413,-0.0324675
4,0.3,-0.0030043,-0.0338966
4.1,0.3,-0.00305344,-0.035345
4.2,0.3,-0.00310157,-0.0368122
4.3,0.3,-0.0031487,-0.0382974
4.4,0.3,-0.00319485,-0.0398001
4.5,0.3,-0.00324003,-0.0413196
4.6,0.3,-0.00328427,-0.0428554
4.7,0.3,-0.00332757,-0.0444067
4.8,0.3,-0.00336995,-0.0459731
4.9,0.3,-0.00341142,-0.0475539
5,0.3,-0.003452,-0.0491487
5.1,0.3,-0.00349171,-0.0507568
5.2,0.3,-0.00353056,-0.0523778
5.3,0.3,-0.00356856,-0.054011
5.4,0.3,-0.00360573,-0.0556559
5.5,0.3,-0.00364208,-0.0573122
5.6,0.3,-0.00367764,-0.0589792
5.7,0.3,-0.0037124,-0.0606565
5.8,0.3,-0.0037464,-0.0623435
5.9,0.3,-0.00377963,-0.0640399
6,0.3,-0.00381213,-0.0657452
6.1,0.3,-0.00384389,-0.067459
6.2,0.3,-0.00387495,-0.0691807
6.3,0.3,-0.00390531,-0.07091
6.4,0.3,-0.00393498,-0.0726466
6.5,0.3,-0.00396399,-0.0743898
6.6,0.3,-0.00399235,-0.0761395
6.7,0.3,-0.00402008,-0.0778952
6.8,0.3,-0.00404718,-0.0796566
6.9,0.3,-0.00407368,-0.0814232
7,0.3,-0.0040996,-0.0831948
7.1,0.3,-0.00412494,-0.0849711
7.2,0.3,-0.00414973,-0.0867516
7.3,0.3,-0.00417398,-0.0885361
7.4,0.3,-0.0041977,-0.0903242
7.5,0.3,-0.00422092,-0.0921158
7.6,0.3,-0.00424366,-0.0939105
7.7,0.3,-0.00426592,-0.095708
7.8,0.3,-0.00428773,-0.0975082
7.9,0.3,-0.0043091,-0.0993106
8,0.3,-0.00433005,-0.101115
8.1,0.3,-0.0043506,-0.102922
8.2,0.3,-0.00437077,-0.10473
8.3,0.3,-0.00439058,-0.106539
8.4,0.3,-0.00441003,-0.10835
8.5,0.3,-0.00442916,-0.110162
8.6,0.3,-0.00444798,-0.111975
8.7,0.3,-0.00446651,-0.113789
8.8,0.3,-0.00448477,-0.115603
8.9,0.3,-0.00450278,-0.117418
9,0.3,-0.00452055,-0.119233
9.1,0.3,-0.00453812,-0.121049
9.2,0.3,-0.00455549,-0.122864
9.3,0.3,-0.00457269,-0.12468
9.4,0.3,-0.00458973,-0.126495
9.5,0.3,-0.00460664,-0.128311
9.6,0.3,-0.00462343,-0.130126
9.7,0.3,-0.00464012,-0.131941
9.8,0.3,-0.00465673,-0.133756
9.9,0.3,-0.00467327,-0.13557
10,0.3,-0.00468979,-0.137385
