x,y,sxx,sxy,syx,syy
6.2,0.3,-1.75053,-0.451893,-0.451893,0.0239236
6.3,0.3,-1.66038,-0.440624,-0.440624,0.0236507
6.4,0.3,-1.57263,-0.429334,-0.429334,0.0233647
6.5,0.3,-1.48726,-0.418022,-0.418022,0.0230661
6.6,0.3,-1.40429,-0.406684,-0.406684,0.0227557
6.7,0.3,-1.32372,-0.395321,-0.395321,0.022434
6.8,0.3,-1.24553,-0.38393,-0.38393,0.0221016
6.9,0.3,-1.16974,-0.37251,-0.37251,0.0217592
7,0.3,-1.09635,-0.36106,-0.36106,0.0214073
7.1,0.3,-1.02535,-0.349579,-0.349579,0.0210465
7.2,0.3,-0.956738,-0.338064,-0.338064,0.0206772
7.3,0.3,-0.890527,-0.326516,-0.326516,0.0203001
7.4,0.3,-0.82671,-0.314934,-0.314934,0.0199155
7.5,0.3,-0.765289,-0.303316,-0.303316,0.019524
7.6,0.3,-0.706264,-0.291661,-0.291661,0.019126
7.7,0.3,-0.649634,-0.279969,-0.279969,0.0187221
7.8,0.3,-0.595401,-0.268238,-0.268238,0.0183125
7.9,0.3,-0.543564,-0.256469,-0.256469,0.0178978
8,0.3,-0.494124,-0.244661,-0.244661,0.0174782
8.1,0.3,-0.44708,-0.232813,-0.232813,0.0170543
8.2,0.3,-0.402434,-0.220924,-0.220924,0.0166264
8.3,0.3,-0.360184,-0.208995,-0.208995,0.0161947
8.4,0.3,-0.320332,-0.197024,-0.197024,0.0157598
8.5,0.3,-0.282878,-0.185012,-0.185012,0.0153217
8.6,0.3,-0.247822,-0.172957,-0.172957,0.0148809
8.7,0.3,-0.215163,-0.16086,-0.16086,0.0144373
8.8,0.3,-0.184903,-0.148721,-0.148721,0.0139906
8.9,0.3,-0.157039,-0.136538,-0.136538,0.0135395
9,0.3,-0.131571,-0.124313,-0.124313,0.013081
9.1,0.3,-0.108493,-0.112044,-0.112044,0.0126082
9.2,0.3,-0.0877916,-0.099733,-0.099733,0.0121072
9.3,0.3,-0.0694383,-0.0873816,-0.0873816,0.0115538
9.4,0.3,-0.0533765,-0.0749967,-0.0749967,0.0109104
9.5,0.3,-0.0395031,-0.0625944,-0.0625944,0.0101331
9.6,0.3,-0.0276518,-0.050209,-0.050209,0.00921211
9.7,0.3,-0.0176077,-0.037898,-0.037898,0.00829902
9.8,0.3,-0.00922532,-0.0257067,-0.0257067,0.00802815
9.9,0.3,-0.0027935,-0.013449,-0.013449,0.0101793
10,0.3,0.00034323,5.01E-05,5.01E-05,0.0187039
0,0.4,-5.22328,1.40324,1.40324,-2.23837
0.1,0.4,-5.58411,-0.338418,-0.338418,-1.3293
0.2,0.4,-5.78807,-1.18125,-1.18125,-0.606861
0.3,0.4,-5.78864,-1.46256,-1.46256,-0.197654
0.4,0.4,-5.66735,-1.49671,-1.49671,-0.0283007
0.5,0.4,-5.50891,-1.45479,-1.45479,0.0184049
0.6,0.4,-5.35469,-1.40349,-1.40349,0.0194469
0.7,0.4,-5.2154,-1.36112,-1.36112,0.00990021
0.8,0.4,-5.08945,-1.32899,-1.32899,0.00164476
0.9,0.4,-4.97262,-1.30416,-1.30416,-0.0029965
1,0.4,-4.86142,-1.28372,-1.28372,-0.00467428
1.1,0.4,-4.75363,-1.26569,-1.26569,-0.00450812
1.2,0.4,-4.64803,-1.2489,-1.2489,-0.0033666
1.3,0.4,-4.54401,-1.23276,-1.23276,-0.00178537
1.4,0.4,-4.4413,-1.21695,-1.21695,-5.42E-05
1.5,0.4,-4.33978,-1.20135,-1.20135,0.00168571
1.6,0.4,-4.23941,-1.18589,-1.18589,0.00337283
1.7,0.4,-4.14019,-1.17055,-1.17055,0.0049845
1.8,0.4,-4.04211,-1.15531,-1.15531,0.00651525
1.9,0.4,-3.94518,-1.14017,-1.14017,0.0079663
2,0.4,-3.8494,-1.12513,-1.12513,0.00934088
2.1,0.4,-3.75478,-1.11017,-1.11017,0.0106424
2.2,0.4,-3.66132,-1.0953,-1.0953,0.0118741
2.3,0.4,-3.56902,-1.08052,-1.08052,0.0130385
2.4,0.4,-3.47787,-1.0658,-1.0658,0.0141378
2.5,0.4,-3.38789,-1.05117,-1.05117,0.0151742
2.6,0.4,-3.29908,-1.0366,-1.0366,0.0161495
2.7,0.4,-3.21142,-1.0221,-1.0221,0.0170655
2.8,0.4,-3.12493,-1.00766,-1.00766,0.0179237
2.9,0.4,-3.03961,-0.993288,-0.993288,0.0187258
3,0.4,-2.95546,-0.978968,-0.978968,0.0194734
3.1,0.4,-2.87247,-0.964702,-0.964702,0.0201681
3.2,0.4,-2.79065,-0.950486,-0.950486,0.0208113
3.3,0.4,-2.71,-0.936318,-0.936318,0.0214045
3.4,0.4,-2.63053,-0.922194,-0.922194,0.0219493
3.5,0.4,-2.55222,-0.908111,-0.908111,0.0224471
3.6,0.4,-2.47509,-0.894067,-0.894067,0.0228992
3.7,0.4,-2.39913,-0.88006,-0.88006,0.0233072
3.8,0.4,-2.32434,-0.866086,-0.866086,0.0236723
