x,y,sxx,sxy,syy
4.36975,0.020202,-91.0997,-0.676298,0.0193417
4.45378,0.020202,-88.3959,-0.666204,0.0193417
4.53782,0.020202,-85.7328,-0.65611,0.0193417
4.62185,0.020202,-83.1104,-0.646016,0.0193417
4.70588,0.020202,-80.5286,-0.635922,0.0193417
4.78992,0.020202,-77.9875,-0.625828,0.0193417
4.87395,0.020202,-75.487,-0.615734,0.0193417
4.95798,0.020202,-73.0272,-0.60564,0.0193417
5.04202,0.020202,-70.6081,-0.595546,0.0193417
5.12605,0.020202,-68.2296,-0.585452,0.0193417
5.21008,0.020202,-65.8917,-0.575358,0.0193417
5.29412,0.020202,-63.5945,-0.565264,0.0193417
5.37815,0.020202,-61.338,-0.55517,0.0193417
5.46218,0.020202,-59.1222,-0.545076,0.0193417
5.54622,0.020202,-56.947,-0.534982,0.0193417
5.63025,0.020202,-54.8124,-0.524888,0.0193417
5.71429,0.020202,-52.7185,-0.514794,0.0193417
5.79832,0.020202,-50.6653,-0.5047,0.0193417
5.88235,0.020202,-48.6527,-0.494606,0.0193417
5.96639,0.020202,-46.6808,-0.484512,0.0193417
6.05042,0.020202,-44.7496,-0.474418,0.0193417
6.13445,0.020202,-42.859,-0.464324,0.0193417
6.21849,0.020202,-41.009,-0.45423,0.0193417
6.30252,0.020202,-39.1997,-0.444136,0.0193417
6.38655,0.020202,-37.4311,-0.434042,0.0193417
6.47059,0.020202,-35.7031,-0.423948,0.0193417
6.55462,0.020202,-34.0158,-0.413854,0.0193417
6.63866,0.020202,-32.3692,-0.40376,0.0193417
6.72269,0.020202,-30.7632,-0.393666,0.0193417
6.80672,0.020202,-29.1979,-0.383572,0.0193417
6.89076,0.020202,-27.6732,-0.373478,0.0193417
6.97479,0.020202,-26.1892,-0.363384,0.0193417
7.05882,0.020202,-24.7458,-0.35329,0.0193417
7.14286,0.020202,-23.3431,-0.343196,0.0193417
7.22689,0.020202,-21.9811,-0.333102,0.0193417
7.31092,0.020202,-20.6597,-0.323008,0.0193417
7.39496,0.020202,-19.379,-0.312914,0.0193417
7.47899,0.020202,-18.1389,-0.30282,0.0193417
7.56303,0.020202,-16.9395,-0.292726,0.0193417
7.64706,0.020202,-15.7807,-0.282632,0.0193417
7.73109,0.020202,-14.6626,-0.272538,0.0193417
7.81513,0.020202,-13.5852,-0.262444,0.0193417
7.89916,0.020202,-12.5484,-0.25235,0.0193417
7.98319,0.020202,-11.5523,-0.242256,0.0193417
8.06723,0.020202,-10.5968,-0.232162,0.0193417
8.15126,0.020202,-9.68201,-0.222068,0.0193417
8.23529,0.020202,-8.80786,-0.211974,0.0193417
8.31933,0.020202,-7.97437,-0.20188,0.0193417
8.40336,0.020202,-7.18154,-0.191786,0.0193417
8.48739,0.020202,-6.42937,-0.181693,0.0193417
8.57143,0.020202,-5.71785,-0.171599,0.0193418
8.65546,0.020202,-5.04699,-0.161506,0.0193418
8.7395,0.020202,-4.41678,-0.151413,0.0193418
8.82353,0.020202,-3.82722,-0.14132,0.0193418
8.90756,0.020202,-3.27833,-0.131227,0.0193418
8.9916,0.020202,-2.7701,-0.12113,0.0193414
9.07563,0.020202,-2.30255,-0.111026,0.0193405
9.15966,0.020202,-1.87575,-0.100903,0.0193383
9.2437,0.020202,-1.48981,-0.0907383,0.0193333
9.32773,0.020202,-1.14496,-0.0804892,0.0193232
9.41176,0.020202,-0.841683,-0.0700768,0.0193035
9.4958,0.020202,-0.58081,-0.0593652,0.0192671
9.57983,0.020202,-0.363806,-0.0481352,0.0192032
9.66387,0.020202,-0.193011,-0.0360683,0.0190977
9.7479,0.020202,-0.0717834,-0.0227967,0.0189405
9.83193,0.020202,-0.00379427,-0.00825398,0.0187934
9.91597,0.020202,0.0114377,0.00534005,0.019143
10,0.020202,0.000220687,0.00316642,0.0225046
0,0.030303,-310.703,-58.2745,-85.5921
0.0840336,0.030303,-287.549,-8.10228,2.52595
0.168067,0.030303,-268.53,-1.82714,0.149024
0.252101,0.030303,-263.321,-0.95401,0.0407733
0.336134,0.030303,-259.917,-1.03731,0.0694069
0.420168,0.030303,-256.499,-1.23511,0.0639297
0.504202,0.030303,-252.799,-1.39604,0.052965
0.588235,0.030303,-248.844,-1.50206,0.0438119
0.672269,0.030303,-244.716,-1.56304,0.0374019
0.756303,0.030303,-240.492,-1.59278,0.0333027
0.840336,0.030303,-236.226,-1.60276,0.0308478
0.92437,0.030303,-231.954,-1.60102,0.0294566
1.0084,0.030303,-227.697,-1.59272,0.0287076
